#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
Mom asks #Person1# to read, and she'll turn off the TV.	marriage life
#Person1#'s sister had a car accident last week.	a plant documentary
#Person2# suggests going to a horror movie next on the second date, and #Person1# agrees.	control one's temper
#Person1# tells #Person2# not to smoke here.	the language club
#Person1# wants dumplings, but #Person2# wants a hot pot.	a damaged package
#Person1# is more optimistic than #Person1# about traveling in space.	soultion to itching
#Person1# and #Person2# are choosing a coffee table for their room.	reschedule appointment
#Person2# wants an eye-shadow in a bright color, and #Person1# helps #Person2# choose one that #Person2#'s satisfied.	items to declare
#Person1# hasn't received credit card bills, and #Person2# suggests #Person1# should take that up with #Person1#'s post office.	basic information
#Person1# pays the bill with #Person2#'s assistance.	questionnaire results
#Person2# plans to send the parcel of vases to Changchun by airmail.	plane information
#Person1# asks #Person2# the working hours of the position.	pregnacy vomiting
#Person1# tells #Person2# #Person1# chatted with a man online but nothing personal when #Person1# turned thirty.	complaints hotline
#Person1# apologizes to #Person2# for the reservation mistake.	finding a restaurant
#Person1# introduced the four ugliest women who had great virtue in ancient China to Susan.	mental symptom
#Person2# thinks #Person1# is impatient and might not love #Person2# anymore, but #Person1# reassures #Person2# and they will watch the movie together.	rainy weather
#Person2# helps #Person1# to choose a big aluminum pan with a heat-resistant bamboo handle and a lid.	keeping a pet
#Person1# asks #Person2# to hurry up, but #Person2# can't find the wallet.	friend greeting
#Person1# and #Person2# talk about the differences between American football and soccer.	house offer
#Person1# calls #Person2# from the airport to reserve a single room.	stop doing business
#Person2# applies for a job at a radio station.	local guide
#Person1# asks #Person2# about #Person2#'s career as a cameraman.	eating outside
#Person1# thinks #Person2#'s price is so high.	class grade
#Person2# comes to an art shop to buy presents for #Person2#' s foreign friends.	writer's group
#Person1# thinks computers are beneficial to kids but #Person2# thinks the opposite.	meeting arrangement
#Person1# suggests climbing the Great Wall instead of taking the cable car.	American office
#Person1# orders a delivery of sandwiches and drinks from the Bread and Cheese Deli.	recall
#Person1# enjoyed playing video games at home last weekend.	look ill
#Person1# and #Person2# are enjoying a pond.	composition writing
#Person2# looks tired because #Person2#'s been working overtime lately hoping for a promotion.	conference center
#Person1# and #Person2# have no weekend plans yet.	job losing
The shop assistant helps #Person1# compare two products.	baggage pack
#Person1# assigns #Person2# to invite all clients to the conference next week and print out the meeting agenda.	do exercise
#Person2# tells #Person1# #Person1# passed the driving test and points out #Person1#'s shortcoming on parallel parking.	healthy foods
#Person1# buys a student ticket and gets a museum guide with #Person2#'s assistance.	UFOs and aliens
#Person1# inquiries #Person2# about a two-bedroom apartment listed in the ad.	workplace conversation
#Person1#'s angry that #Person2# gets home late without a call.	happy life
#Person1# and #Person2# discuss the differences between chess and xiangqi.	dating experience
#Person1# and #Person2# run into each other again at the grocery.	women and sports
#Person2# got a doctorate in genetic and wants to find a job conducting genetic research.	lose promotion
#Person2# orders Cuervo Gold margaritas under #Person1#'s recommendation and asks #Person1# to bring it on the rocks with no salt.	travel packing
#Person1# volunteers #Person2# to teach a 78-year-old illiterate American how to read.	keep the bags
#Person1# lied to Veronica because of his mission.	working conversation
#Person1# gets a chest X-ray step by step under #Person2#'s guidance.	drinking beer
#Person1# thinks the shirt looks terrible on #Person1#.	local climate
#Person1# suggests visiting Cambridge, but #Person2# went there yesterday.	send an E-mail
#Person1# and #Person2# go over their plan of riding from Vancouver to Winnipeg.	prepare for exams
#Person2# tells #Person1# a talented athlete did not win because of drug problems.	climb hills
#Person1# and #Person2# want to watch different channels and they finally decide to watch a quiz show together.	dating
#Person2# says #Person1# cannot put the luggage here.	recommend flats
#Person1# shows Wang Mei her new dress.	casual talks
#Person1# and #Person2# have two weeks off.	find a dog
#Person1# is hosting a dinner and #Person2# is the first to arrive.	use phones
#Person1# urges #Person2# to get on the bus.	dish
#Person2# tells #Person1# the location of a grocery store, a laundromat, and a barber shop.	drain problem
#Person1# thinks #Person2# is different from other teachers as #Person2# always looks happy and energetic.	negotiate about shipment
#Person1# calls #Person2# and discusses the exams next week.	wicked stepmother
#Person1# is asking #Person2# about her trip and what is in #Person2#'s suitcase.	wrong stop
#Person1# and #Person2# are talking about the new rules of using a cellphone at work.	trademark
#Person1# is distracted by the ads that appeared on the computer screen.	deal with shutdown
#Person2# shares knowledge of different teas with #Person1#, including the classification based on processing methods and their health benefits.	move the car
#Person2# tells #Person1# things that should be prepared for keeping fish, including a tank, some rocks, and underwater plants.	dog park
#Person1# and #Person2# are talking about their plans for the Thanksgiving holiday.	being sick
#Person1# helps #Person2# withdraw 10,000 RMB from #Person2#'s account.	a theft
#Person1# comes to China to place a clothes order with #Person1#.	colleague's grumble
#Person1# offers #Person2# a cigarette and gives #Person2# a light.	being unhappy
#Person1# and #Person2# are discussing the scooter that has become so fashionable worldwide and its origin, usage mode, and merits.	future planning
#Person1# is over an hour late for the appointment with Adam.	age and birthday
#Person2# wants to check out a magazine but #Person1# tells #Person2# it's not allowed.	inappropriate words
#Person1# comes to say good-bye to #Person1# before going back to the U.S..	 annoying things
#Person1# tells #Person2# to ask Elaine Robinson out but #Person2# refuses, so #Person1# resorts to inviting the Robinson's over for dinner.	strong medicine
#Person1# is going to Chicago University to study Economics for three years.	give a lift
#Person2# tells #Person1# how to use the powder, the eye-drop, and the ointment.	start running
#Person1# shows #Person2# a car and tells #Person2# #Person1# borrowed #Person5#'s car to go shopping.	Christian research preparation
#Person1# wants to try local food and orders double filet steak under #Person2#'s recommendation.	room rules
#Person2# shows #Person2#'s proficiency in English translation, spoken English, and English tests.	China-gown of Tang-Dynasty
#Person1# asks #Person2# for an estimated price for #Person1#'s order of 100 units and #Person1# thinks it's a little high.	use the internet
#Person1# dislikes #Person2#'s idea of getting a tie for someone.	a date
#Person1# checks #Person2#'s passport and asks about #Person2#'s intention and plan of visiting Australia.	complaint about food
#Person1# tells #Person2# #Person2#'s son is sometimes late for the class.	Roman's life
#Person1# gives #Person2# a physical check and diagnoses that #Person2# has a bad cold.	drop out
#Person2# recommends the compact to #Person1# and introduces its features.	a big argument
#Person1# and #Person2# learn that love built on the sand will soon be on the rocks from someone's divorce.	an accountant position
#Person1# and #Person2# are preparing a secret party for #Person3# and #Person4# who are getting married.	Obama
#Person1# tells #Person2# about #Person1#'s vacation plan to Canada.	a celebrity
#Person1# introduces #Person1#'s course in automotive repair to #Person2# and tells #Person2# what they do on a work day.	time of delivery
#Person1# tells #Person2# they need to take the accounts system offline to carry out the upgrade.	a house
#Person2# shares to #Person2# how to manage to be a good mother and a successful career woman.	a lost necklace
#Person1# takes #Person2#'s taxi to the railway station.	in the studio
#Person1# wants to get a red blouse though she has another one in blue.	be hurt
#Person1# and #Person2# are going to Beijing.	British people
#Person1# and #Person2# hold different views on show biz stars.	a thunderstorm
#Person1# and #Person2# discuss where to go on Friday night.	write a recommendation
#Person1# tells #Person2# the traits of #Person1#'s parents.	on the airplane
#Person1# and #Person2# are watching a game and they are not satisfied with the referee.	situation in England
#Person1# teaches his grandpa to use an ATM card.	an art exhibition
#Person1# and #Person2# are taking on a bus.	the evening rush
#Person2# is disturbed by roommates late at night and doesn't know how to stop them euphemistically.	injured legs
#Person2# tells #Person1# #Person2# wants to vote for the candidate for his intelligence and policies.	a Chinese restaurant
#Person2# is helping #Person1# renting skis and boots and finding an instructor.	explain the Deposit
#Person1# and #Person2# are waiting to order.	change the plan
#Person1# tells Wendy the city square will be turned into an amusement park.	dicuss Chinese haggling
#Person1# asks #Person2# for some candy as a snack before dinner, but #Person2# refuses.	conversation about shopping
#Person1# tells #Person2# their flight is delayed and suggests taking a nap.	a thanks call
#Person1# recommends a dress for #Person2#.	explanation of nanometer
#Person2# buys a hardcover of Gone with the Wind for $25 with #Person1#'s help.	playing music
It rains heavily, #Person2# shares an umbrella with #Person1#, and they go to the Garden Hotel.	buy textbooks
#Person1# argued with #Person2# yesterday because #Person2# needed to cancel their trip and went to her boyfriend's plan.	sky diving
#Person1# thinks #Person1# is playing the field.	office life
#Person1# has a small cat and shows the pictures to #Person2#.	draw the blood
#Person1# buys a watch that is convenient for right-handed people, so left-handed #Person2# won't borrow it.	an unsuccessful purchase
#Person1# and #Person2# are talking about #Person3#'s pregnancy and that #Person3# is under pressure from the old-fashioned elders.	pullover
#Person1# tells #Person2# #Person3# got stomach cancer and she has lost all her hair.	the Christmas gift
#Person2# has trouble taking notes because of hurting hands.	private talk
#Person1#'s clock didn't alarm and will be late for the school field trip.	renting information
#Person1# asks #Person2# the places for amusement.	movie tickets
#Person1# and #Person2# agree that no theater pays attention to the ratings of movies anymore.	room decoration
#Person2# helps #Person1# get a quiet single room without reservation and pay the deposit.	parent's discretion
#Person1# decides to get #Person2# to an emergency room as #Person2# has acute stomachache without a history of stomach pain.	article
#Person1# asks #Person2# to be far away from a man.	Clyde's wish
#Person1# and #Person2# hold different ideas about how espresso got its name.	dreamer
#Person1# and #Person2# talk about their busy work and their welfare of traveling.	the literature course
Both #Person1# and #Person2# have been interrupted by #Person3# to talk about #Person3#'s new boyfriend.	hat parade
#Person1# and #Person2# want to choose a record player.	Mark's childhood
#Person1# asks #Person2# about #Person2#'s birthday and the starting time of the film.	lose a cellphone
#Person1# and #Person1# recall the first time they met.	a successful invention
#Person2# assists #Person1# to buy new furniture for #Person1#'s living room.	channel
#Person1# tells #Person2# #Person2# missed #Person2#'s stop, but it's not far to walk back.	go to beach
#Person1# wants to be a doctor after graduation while his dad wants him to work in information technology.	worry about friends
#Person1# asks #Person2# about the location of the post office.	spy
#Person1# interviews Lisa Lynch about her opinion on the big leap in new jobs created last month.	movie choice
#Person2# complains about #Person2#'s roommate, Charlie, to #Person1# and asks #Person1# to talk to Charlie.	lies
#Person2# helps #Person1# put two tables together to make it for 8 people.	dangers in space
#Person1# decides to stop smoking and come out of the closet in the new year.	choose an eye-shadow
#Person2# calls Amazon's customer service because one page is missing in the book he got from Amazon.	bill service
#Person1# and #Person2# talk about the divorce between #Person3# and Hero.	allergies
#Person1# and #Person2# are at the birthday party of Brian.	couple quarrel
#Person2# shows #Person1# around the constructing Olympic stadium and introduces the stadium.	keep the reservation
#Person1# wants to create a company and is going to write a business plan.	catch the plane
#Person1# abandons the idea of creating a company after #Person2# explains what a business plan includes.	football and soccer
#Person1# suspects that #Person2# has chicken pox and wants to keep away from #Person2#.	cancel hotel reservation
#Person1# will try to persuade #Person1#'s wife not to divorce #Person1# as #Person1# swears to remain faithful forever.	buy presents
#Person1# begs #Person2#'s to persuade #Person1#'s wife not to divorce him, and #Person2# agrees.	go over books
#Person1# and #Person2# talk about Abraham Lincoln and his glorious history.	the Great Wall
#Person2# plans to have a trip in Hebei but #Person1# says there are sandstorms in there.	order a delivery
#Person1# tells #Person2# Hebei was experiencing severe sandstorms and sandstorms threaten people's health.	times of trains
#Person2# comes to the birthday party of #Person2# and sends him a remote car model.	inference
#Person2# gives #Person2# a car model that both of them love as a birthday gift.	stay in comfort
#Person1# got caught cheating and feels ashamed.	Beijing
#Person1# tells #Person2# that he cheated on the exam and realized his mistake.	hobby discussion
#Person1# is in a hurry to catch a train.	buy a product
#Person1# is rushing to catch a train but #Person2# thinks it isn't necessary.	a botanical garden
#Person2# is surprised that #Person2#'s married.	wrong bus stop
#Person1# is describing his sister to #Person1#.	internet installation
#Person1# feels sick and #Person2# gives #Person1# a check-up.	chess and xiangqi
#Person2# finds that #Person1# has a fever and says #Person1# should've called in sick earlier.	coincidence
#Person2# checks #Person1#'s physical condition and finds #Person1# has a fever.	handbag hire
#Person2# wants to buy a new mobile phone from #Person1#.	guitar
#Person1# describes his new job's schedule and insurance at the Post Office to Judy.	teach
#Person1# asks about #Person2#'s special skills, training, previous working experience and other qualification for the job.	burning heat
#Person2# will change a steak for #Person1# as that one doesn't satisfy #Person1#.	drowning
#Person1# is not satisfied with #Person1#'s steak and asks to change one, and #Person2# agrees.	mother
#Person1# tells #Person2# that his novel has won the Nobel Prize.	visit London
#Person1# is interviewing #Person2# about #Person2#'s ability and previous experience.	computer games addiction
#Person1# asks #Person2# about #Person2#'s qualification for the job.	cross-country ride
#Person1# and #Person2# are talking about some personal facts of drinking.	personal characteristic
#Person1# and #Person2# talk about their drinking capacity and their drinking habits.	traveling vehicle
Muriel Douglas and #Person2# meet each other and talk about what they have done during the holiday.	allergic reaction
#Person1# and #Person2# are talking while waiting for Susan, #Person2#'s associate.	taking a train
Muriel Douglas and #Person2# send greetings and talk about their holiday before the meeting.	drug cheating
#Person1# run out of money because of a girl, and is withdrawing money from an ATM.	luggage storage
Since #Person2# is very social, #Person1# asks for the communication strategy.	music type
#Person2# shares #Person2#'s communication strategy with #Person1#.	a getaway
#Person1# is tired and wants a break from work.	new dress
#Person1# wants to get a break from work and he asks #Person1# to buy a drink for him, but #Person1# refuses.	satisfying hair
#Person1# and #Person2# are discussing when to work on the financial report.	asking about major
#Person1# and #Person2# manage to find time to work on a report together.	holiday traveling
#Person1# and #Person2# negotiate on the time to work on the report.	dine together
#Person1# and #Person2# are discussing what kind of emotion should be expressed by #Person2# in this play.	breaking traffic regulation
#Person1# and #Person2# have a disagreement on how to act out a scene.	taking the bus
#Person1# greets #Person2# and then they say goodbye to each other.	doing exercises
#Person1# comes over to say hello to Todd, and will go shopping afterwards.	journey complaint
#Person1# visits Todd, and #Person2# appreciates that.	stereo warranty
#Person1# suggests #Person2# take it easy and asks him about his brother.	a trial order
#Person1# and #Person2# argue the effectiveness of demonstrations.	talking about trip
#Person1# blames #Person2# for letting someone in without much discretion.	shopping receipt
#Person1# wants to borrow #Person2#'s class notes.	ringing alarm
#Person1# asks #Person2# for her notes because #Person1#'s notes aren't good.	university offer
#Person2# wants to take a course of Professor #Person2# and Professor agrees if #Person2# achieves the allowance of Professor Burman.	using cell phone
#Person2# wants to enroll in Professor #Person2#'s course, and Professor #Person2# agrees to consider his application.	natural disasters news
#Person1# wants to change the broken pendant in #Person2#'s shop.	order in restuarant
#Person1# goes back to #Person2#'s shop to replace a broken pendant.	stopping computer ads
#Person1# wants a product changed from #Person2#, and #Person2# agrees.	tea culture
#Person1# is showing the new clothes to #Person2#, but #Person2# is busy watching the games.	going to party
#Person1# and #Person2# have a serious quarrel over whether shopping for clothes or watching a sports game is more important.	kepping fish
#Person1# asks #Person2#'s opinion on new clothes, but #Person2# only focuses on the game and feels annoyed.	assignment problem
#Person1# and #Person2# are looking at jobs.	commuting tools
#Person2# feels bored with the meeting.	toner cartridge
#Person1# hosts the week's People You Meet, featuring Mark Leach.	buy movie tickets
#Person1# likes English and P.E. best, but Lin Fang's favorite is Chinese and Science.	wedding plan
#Person1# comes to help #Person2# to do some housework on the weekend.	complain about boss
#Person1# helped #Person2# with housework since she has broken her legs, and he wanted to save money for a bike.	sand storm
#Person1# helps #Person2# to do chores because #Person1# wanted to save money and #Person2# is incapable.	interpersonal interaction
#Person1# and #Person2# are discussing what kind of emotion should be expressed by #Person2# in this play.	medical advice
The taxi driver takes #Person1# to the Friendship Hotel quickly.	making a price
#Person1# doesn't have any change for the bus because #Person1# bought some chips.	cleaning request
#Person2# tells #Person1# information about their company and its surroundings.	an interesting tie
#Person1# asks #Person2# about the company's surroundings, location, and staff restaurant.	enter a country
#Person2# shows #Person1# the way to City Hall patiently.	auditing work
#Person2# patiently shows #Person1# the way to City Hall.	beautiful calligraphy
#Person1# and #Person2# feel scared when heard #Person3# insists on marrying Dick.	generation gap
#Person1# and #Person2# are at a nice party.	change gloves
#Person1# and #Person2# talk about girls at a party and #Person2# tells #Person1# that #Person2# likes #Person6#	a vocational course
#Person1# and #Person2# are at an exciting party.	system upgrade
#Person1# tells #Person1# that business communication is his favorite last year and #Person1# will check it.	prescription refilling
#Person1# and #Person2# are talking about the weather in different seasons in Beijing.	taxi conversation
#Person1# and #Person2# are talking about the heavy rain last night and the weather in Beijing.	hobbies and entertainments
#Person1# invites #Person2# to watch a movie together that night.	a vacation
#Person1# is showing #Person1# around his school.	go to bars
#Person1# shows #Person1# around his school and introduces the library, the new classroom building, and the swimming pool.	parents
#Person1# shows #Person1# around the school and introduces buildings and facilities in the school to #Person1#.	a ball game
#Person1# and #Person2# feel happy because #Person1# is pregnant.	use bank card
#Person1# and #Person2# talk about #Person3#'s dating life.	payment problem
#Person1# and #Person2# are talking about a couple.	magazine subscriptions
#Person1# is giving #Person2# some advice for upgrading #Person2#'s system, such as adding a painting program and a faster processor.	flea markets
#Person1# tells #Person2# how to upgrade #Person2#'s system for better software and hardware.	life with roommates
#Person1# drives #Person2# to an inn and they have a talk.	handle a napkin
#Person1# reserves a dining room for eight at a restaurant.	Municipal construction
#Person1# confirms #Person2#'s reservation at the restaurant and asks a waitress to show him the way.	afternoon snack
#Person1# is asking #Person2# about her working experience.	argument between friends
#Person1# tells #Person1# about her working experiences.	Suspected cheating
#Person1# interviews #Person2# and asks her about her previous working experiences.	show a pet
#Person1# and #Person2# will do a group report, so they plan to buy something to make posters.	right-handed watch
#Person1# is tired because of finding jobs in the market.	stomach cancer
#Person1# goes to the personnel market every day and is tired.	bill mistake
#Person2# is making a shopping budget to save the rest of the money.	catch a cold
#Person2# tells #Person1# #Person2# plan to save money and #Person1# thinks it is good.	a cold joke
#Person2# introduces the shopping budget which is used to save money to #Person1#.	phone calls
#Person1# will go to the hospital to visit Susan.	taking notes
#Person1# wants to talk to #Person2# about the sales projections for next year.	hotel amusement places
#Person1# and #Person2# negotiate on a time to talk about the sales projections for next year.	sole agency
#Person1# is going to New York for the first time.	e-cards
#Person2# recommends a personal tour guide service to #Person1#.	ratings of movies
#Person1# is checking the draft of an agreement and #Person2# will finish the agreement this evening.	solve pressure
#Person2# gives #Person1# an agreement draft and #Person1# thinks it good.	a bad man
#Person1# rent a car from ABC Rent-a-car Company this morning and met an accident.	cousin
#Person1# tells ABC Rent-a-car Company that #Person1# had a car accident.	espresso
#Person1# is lost on the way to the school clinic.	live in campus
#Person1# lost #Person1#'s way to the school clinic, #Person2# guides #Person1#.	interruption
#Person2# wants to change her room because the baggage elevator is too noisy.	a record player
#Person1# has arranged everything for #Person2# after #Person2# arrives in Beijing and invites #Person2# to a banquet.	recall something
#Person1# gets lost on the way to Liu Ichang.	experience in hotel
#Person2# helps #Person1# to find out the location of Liu Ichang and tells #Person1# to take Bus No. 173.	a laptop
#Person2# finds that the computer has stopped running.	timesheet
#Person1# advises #Person2# to call the repairmen to fix #Person2#'s computer.	miss a stop
#Person2#'s computer breaks down and #Person1# suggests ringing up the repairman.	be health-conscious
#Person2# wants to buy a gift for his mother's birthday.	order dessert
#Person2# is looking for a gift for his mother in a shop and #Person1# gives him some helpful suggestions.	the shortlist interviews
#Person1# and #Person2# are having a coffee chat face to face.	no jeans
#Person2# tells #Person1#, in Russia, things happen very fast except for bank business, while in Canada people are calmer.	in the hotel
#Person1# and #Person2# are talking about the differences between Russia and Canada.	the post office
#Person2# thought to travel to the Caribbean Sea.	Chinese elements
#Person2# wanted to travel to the Caribbean Sea and but is worried about the storms.	the worst roommate
#Person1# and #Person1#'s mother are preparing the fruits they are going to take to the picnic.	dreamhome
#Person1# and #Person2# are preparing fruits for the picnic.	in the restaurant
#Person2# is fed up with people with a straight face, and #Person1# hates people keeping smiling to #Person1#.	a missing page
#Person1# and #Person2# are talking about the good performance of their business for last year.	communication method
#Person1# and #Person2# are pleasant to see their business performance has improved last year.	dictation
#Person1# treats #Person2# to a nice meal.	discuss divorce
#Person2# checks #Person3# Wilson's information and #Person3# pays his hotel and meal bill.	Olympic Stadium
#Person1# calls #Person2# to ask about the party time.	sports stadium
#Person1# calls to ask #Person2# about the party time.	business plan
#Person1# keeps asking where #Person2#'s from because she thinks she knows #Person2#	chicken pox
#Person1# is crazy for #Person2# and voted for him.	contagious disease
#Person2# is teaching #Person1# how to use an ATM step by step because #Person1# doesn't know how to use.	reconsider the divorce
#Person1# asks #Person2# where a memo is but #Person2# doesn't know.	sound character
#Person1# invites #Person2# to picnic this weekend.	famous people
#Person1# is inviting Lily to take part in their picnic this weekend, and she accepts.	discuss Abraham Lincoln
#Person1# and #Person2# are discussing the differences between China and Western feasts.	discuss sandstorm
#Person1# and #Person2# both like watching movies in their spare time.	getting caught cheating
#Person2# wanted to join a small political party and thinks the smaller group can influence the larger one.	failing an exam
#Person2# believes smaller political and pressure groups can influence large parties.	exam cheating
#Person2# thought about joining a small party and thinks smaller political and pressure groups can influence larger ones.	catching the train
#Person1# feels sorry for #Person2#'s loss caused by #Person1# and assures that such mistakes will not happen again.	discuss leaving
#Person1# apologizes for the loss caused by them to #Person2# and assures that it will never happen again.	adjust the life
#Person1# asks #Person2# who saw a robbery some questions and #Person2# is willing to go to the station for more questioning.	giving advice
#Person2# tells #Person1# #Person2# witnessed the robbery and agrees to take more questions in the station.	Ruojia is married
#Person1# and #Person2#'s parents are out on a date and will go out for dinner regularly.	surprising news
#Person1# and #Person2#'s parent are out on a date to revive their old tradition.	cruel behaviour
#Person1# has decided to go on a diet in the new year.	tricking others
#Person1#'s decided to go on a diet for New Year's resolution.	prank
#Person1# has decided to go on a diet in the new year.	sister
#Person1# forgot to take an umbrella while it's raining.	feeling sick
#Person2# shares an umbrella with #Person1# when it's rainy.	at school
#Person1# gives Daisy a ride in his new car.	physical test
#Person1# introduces the content of regular car wash package and #Person2# accepts.	changing the steak
#Person1# and his wife may go abroad during the holidays.	Nobel Prize
#Person1# is a new member who wants to use the machines.	win a prize
#Person1# asks something about #Person2#'s care with puppies and reminds #Person2# of the vet appointment.	discuss drinking
#Person1# and #Person2# are talking about taking care of their puppies and the time of vet appointment.	preparing the picnic
#Person1# wants to borrow $200 from Ayden to pay the rent.	picnic preparing
#Person1# borrows $ 20 from Ayden because #Person1# owes the landlady $ 200.	a nice holiday
#Person2# had been in the charity organization for 2 months and the social activities influenced #Person2#'s way of thinking.	withdrawal trouble
#Person2# had been in the charity organization for 2 months.	ATM accident
#Person1# can inform #Person2# by phone or e-mail when the organization makes a decision in about one week.	communication strategy
#Person1# can tell #Person2# their organization's decision by phone or e-mail in about one week.	social skill
#Person2# recommends #Person1# to have Roast Beijing Duck along with Moutan in the hotel.	break from job
#Person1# reminds #Person2# to come to the wedding next week and asks him to invite #Person3# as well.	peer work
#Person2# has traditional Greek yogurt, which #Person1# thinks rather plain.	schedule making
#Person2# tries Greek yogurt which #Person1# thinks it's rather plain.	interview workshop
#Person1# tells #Person1# that he is 27 and gets a B.A. in Economics at Yale University.	shooting
#Person2# recommends Digital Barbie for #Person1#'s niece.	acting
#Person1# paid $32.42 by cash to buy a Digital Barbie as a niece's gift after listening to #Person2#'s suggestion.	a short visit
#Person2# wants to buy a pair of Jordan shoes in size 41.	feeling tired
#Person1# is lost on the way to the science museum.	demonstration
#Person1# asks #Person2# about his retirement and finds out #Person2# is on a trial scheme called phased retirement.	discuss demonstrations
#Person1# wants a woman who's affectionate and fulfills his every need.	study partners
#Person1# and #Person2# is talking about the heavy storm last night.	discuss school life
#Person1# and #Person2# are talking about the heavy storm last night, and #Person1#'s positive.	enrolling in course
#Person1# asks #Person2# to watch TV with #Person1# at home.	changing the pendant
#Person1# wants #Person2# to watch TV with #Person1#.	returning product
#Person1# is nervous about his new school life.	clothes and games
#Person1#'s knee is getting better but #Person1# suggests that he should not do any running today.	choosing a job
#Person1#'s knee is getting better but #Person1# suggests that he should not do any running today.	search for job
#Person1# wants #Person2# to help to print up a copy.	job choices
#Person1# asks for #Person2#'s help to print up a copy.	boring meeting
#Person1# asks for #Person2#'s help to print up a copy.	getting bored
#Person2# is worried about #Person2#'s daughter.	favorite subjects
#Person1# advises #Person2# to let #Person2#'s daughter make her own decisions instead of worrying about her.	weekend work
#Person1# suggests #Person2# letting the child make own decision instead of worrying about her.	offering help
#Person1# may lose #Person1#'s job because of a mistake that may cause a huge loss and a dishonest supervisor.	do chores
#Person2#'s friend is visiting #Person2#.	discuss weather
#Person2#'s friend is a Ph.D. student at the University of Edinburgh.	actor's feelings
#Person2# prefers to stay at home and rest rather than go over to #Person2#'s house tonight because #Person2# gets sick.	taxi ride
#Person1# books a double room for 3 nights from July 20th at York Hotel.	bus stop conversation
#Person1# books a double room for three nights from July 20th at York Hotel.	discussion
#Person1# wants a cheap single room.	get a transfer
#Person1# is looking for a cheap single room.	company visit
#Person1# is looking for a cheap single room.	questions about company
#Person1# and #Person2# blame each other for the series of bad experiences during the journey.	company surroundings
#Person1# and #Person2# are blaming each other for lots of bad experience during the journey.	informal private chat
#Person1# calls to check the delayed order.	Lulu and Vic
#Person2#'s attachment exceeds the e-mail capacity, #Person1# suggests compressing it.	lose passport
#Person2# can't send out an email.	 lost things
#Person2# tells #Person1# #Person2# enjoyed the weekend organized by #Person1#.	lose the passport
#Person1# and #Person2# has enjoyed a nice weekend together.	book an appointment
#Person2# offers #Person1# suggestions about what to eat.	calling from office
#Person1# from #Person2# furniture tells #Person3# they decide not to employ him but #Person3# asks the store to reconsider him.	surprising marrying news
#Person1# calls #Person2# to inform him that they decide to offer the sales position to someone else.	party chat
#Person1# wants #Person2# to reconsider the decision of offering the sales position to someone else instead of him.	party conversation
#Person1# is angry about the crank calls.	party and girl
#Person1# gets a crank call and is angry about it.	favorite class
#Person1# receives a phone call but no one speaks.	conversation about school
#Person2# is being interviewed for a music teacher.	conversation about weather
#Person2# likes his neibourhood girl who is popular.	heavy rain
#Person1# thinks it's strange of #Person2# wearing casually in the office.	school visit
#Person1# congratulates #Person2# on #Person2#'s new venture and expresses #Person1#'s willingness to help.	show around the school
#Person2# explains alternatives of sea transportation but #Person1# addresses the importance of boat in transoceanic cargo transportation.	perfect couple
#Person1# had a nightmare because of the pressure from school applications.	upgrading system
#Person1# and #Person2# plan to start a band and they decide to play hip hop music.	a nice talk
#Person1# and #Person2# are preparing to start the band at school.	weight
#Person1# and #Person2# are talking about what to do tonight and they finally decide to go to watch a show.	restaurant dinner
#Person1# pays #Person2# by credit card for some clothes.	plant visit
#Person1# purchases some clothes by credit card with #Person2#'s assistance.	plant
#Person1# wants the training manuals to be sent this afternoon but #Person2# explains that they haven't been printed out yet.	work talk
#Person2# tells #Person2# about #Person2#'s planned a long trip for #Person2#'s vacation.	work interview
#Person1# and #Person2# are talking about #Person2#'s plan for the vacation.	stationery shopping
#Person2# shows #Person1# the way to the seventy seventh.	shopping budget
#Person2# tells #Person1# #Person1# can take Bus No. 12 to the seventy seventh.	budget
#Person2# introduces a programme about Islam's pilgrimage to #Person1#.	bus to hospital
#Person2# is watching a programme about Islam's pilgrimage to Mecca.	talks on bus
#Person2# shows #Person1# the ways to the central department stall and the national bank.	reserve an appointment
#Person1# will go to London and invites #Person2# to come along.	tour guide service
#Person1# tells #Person2# he had an underdone sandwich for lunch.	work conversation
